city,confirmed,deaths,,,,,,,,,,,,,,,,,,
Hubei,65914,2682,,,,,,,,,,,,,,,,,,
Guangdong,1348,7,,,,,,,,,,,,,,,,,,
Henan,1272,20,,,,,,,,,,,,,,,,,,
Zhejiang,1205,1,,,,,,,,,,,,,,,,,,
Hunan,1017,4,,,,,,,,,,,,,,,,,,
Anhui,990,6,,,,,,,,,,,,,,,,,,
Jiangxi,935,1,,,,,,,,,,,,,,,,,,
Shandong,756,6,,,,,,,,,,,,,,,,,,
Jiangsu,631,0,,,,,,,,,,,,,,,,,,
Chongqing,576,6,,,,,,,,,,,,,,,,,,
Sichuan,538,3,,,,,,,,,,,,,,,,,,
Heilongjiang,480,13,,,,,,,,,,,,,,,,,,
Beijing,410,7,,,,,,,,,,,,,,,,,,
Shanghai,337,3,,,,,,,,,,,,,,,,,,
Hebei,318,6,,,,,,,,,,,,,,,,,,
Fujian,296,1,,,,,,,,,,,,,,,,,,
Guangxi,252,2,,,,,,,,,,,,,,,,,,
Shaanxi,245,1,,,,,,,,,,,,,,,,,,
Yunnan,174,2,,,,,,,,,,,,,,,,,,
Hainan,168,5,,,,,,,,,,,,,,,,,,
Guizhou,146,2,,,,,,,,,,,,,,,,,,
Tianjin,136,3,,,,,,,,,,,,,,,,,,
Shanxi,133,0,,,,,,,,,,,,,,,,,,
Liaoning,121,1,,,,,,,,,,,,,,,,,,
Jilin,93,1,,,,,,,,,,,,,,,,,,
Hong Kong,93,2,,,,,,,,,,,,,,,,,,
Gansu,91,2,,,,,,,,,,,,,,,,,,
Xinjiang,76,3,,,,,,,,,,,,,,,,,,
Inner Mongolia,75,0,,,,,,,,,,,,,,,,,,
Ningxia,72,0,,,,,,,,,,,,,,,,,,
Taiwan,34,1,,,,,,,,,,,,,,,,,,
Qinghai,18,0,,,,,,,,,,,,,,,,,,
Macao,10,0,,,,,,,,,,,,,,,,,,
Xizang,1,0,,,,,,,,,,,,,,,,,,
Republic of Korea,2337,13,,,,,,,,,,,,,,,,,,
Japan,210,4,,,,,,,,,,,,,,,,,,
Singapore,96,0,,,,,,,,,,,,,,,,,,
Malaysia,24,0,,,,,,,,,,,,,,,,,,
Australia,23,0,,,,,,,,,,,,,,,,,,
Viet Nam,16,0,,,,,,,,,,,,,,,,,,
Philippines,3,1,,,,,,,,,,,,,,,,,,
Cambodia,1,0,,,,,,,,,,,,,,,,,,
New Zealand,1,0,,,,,,,,,,,,,,,,,,
Italy,650,17,,,,,,,,,,,,,,,,,,
France,38,2,,,,,,,,,,,,,,,,,,
Germany,26,0,,,,,,,,,,,,,,,,,,
Spain,25,0,,,,,,,,,,,,,,,,,,14
The United kingdom,16,0,,,,,,,,,,,,,,,,,,
Sweden,7,0,,,,,,,,,,,,,,,,,,
Switzerland,6,0,,,,,,,,,,,,,,,,,,
Austria,4,0,,,,,,,,,,,,,,,,,,
Norway,4,0,,,,,,,,,,,,,,,,,,
Greece,3,0,,,,,,,,,,,,,,,,,,
Israel,3,0,,,,,,,,,,,,,,,,,,
Croatia,3,0,,,,,,,,,,,,,,,,,,
Finland,2,0,,,,,,,,,,,,,,,,,,
Russian,2,0,,,,,,,,,,,,,,,,,,
Belarus,1,0,,,,,,,,,,,,,,,,,,
Lithuania,1,0,,,,,,,,,,,,,,,,,,
Netherlands,1,0,,,,,,,,,,,,,,,,,,
North Macedonia,1,0,,,,,,,,,,,,,,,,,,
Romania,1,0,,,,,,,,,,,,,,,,,,
Belgium,1,0,,,,,,,,,,,,,,,,,,
Denmark,1,0,,,,,,,,,,,,,,,,,,
Estonia,1,0,,,,,,,,,,,,,,,,,,
Georgia,1,0,,,,,,,,,,,,,,,,,,
Thailand,40,0,,,,,,,,,,,,,,,,,,
India,3,0,,,,,,,,,,,,,,,,,,
Nepal,1,0,,,,,,,,,,,,,,,,,,
Sri Lanka,1,0,,,,,,,,,,,,,,,,,,
Iran,245,26,,,,,,,,,,,,,,,,,,
Kuwait,43,0,,,,,,,,,,,,,,,,,,
Bahrain,33,0,,,,,,,,,,,,,,,,,,
United Arab Emirates,19,0,,,,,,,,,,,,,,,,,,
Iraq,7,0,,,,,,,,,,,,,,,,,,
Oman,6,0,,,,,,,,,,,,,,,,,,
Lebanon,2,0,,,,,,,,,,,,,,,,,,
Pakistan,2,0,,,,,,,,,,,,,,,,,,
Afghanistan,1,0,,,,,,,,,,,,,,,,,,
Egypt,1,0,,,,,,,,,,,,,,,,,,
United States of America,59,0,,,,,,,,,,,,,,,,,,
Canada,11,0,,,,,,,,,,,,,,,,,,
Brazil,1,0,,,,,,,,,,,,,,,,,,
Algeria,1,0,,,,,,,,,,,,,,,,,,
Nigeria,1,0,,,,,,,,,,,,,,,,,,
